state,"Population_1,000_1991","Population_1,000_2000","Population_1,000_2008","Population_1,000_2009","Population_1,000_2010","Population_1,000_2011","Population_1,000_2012","Population_1,000_2013","Population_1,000_2014","Population_1,000_2015","Population_1,000_2016","Population_1,000_2017","Population_1,000_2018","Population_1,000_2019","Population_1,000_2020","Population_1,000_2021","Population_1,000_2022","Population_1,000_2023","Population_1,000_2024",Population_Share(%)_1991,Population_Share(%)_2000,Population_Share(%)_2008,Population_Share(%)_2009,Population_Share(%)_2010,Population_Share(%)_2011,Population_Share(%)_2012,Population_Share(%)_2013,Population_Share(%)_2014,Population_Share(%)_2015,Population_Share(%)_2016,Population_Share(%)_2017,Population_Share(%)_2018,Population_Share(%)_2019,Population_Share(%)_2020,Population_Share(%)_2021,Population_Share(%)_2022,Population_Share(%)_2023,Population_Share(%)_2024,"Employedpersons_1,000_1991","Employedpersons_1,000_2000","Employedpersons_1,000_2008","Employedpersons_1,000_2009","Employedpersons_1,000_2010","Employedpersons_1,000_2011","Employedpersons_1,000_2012","Employedpersons_1,000_2013","Employedpersons_1,000_2014","Employedpersons_1,000_2015","Employedpersons_1,000_2016","Employedpersons_1,000_2017","Employedpersons_1,000_2018","Employedpersons_1,000_2019","Employedpersons_1,000_2020","Employedpersons_1,000_2021","Employedpersons_1,000_2022","Employedpersons_1,000_2023","Employedpersons_1,000_2024",Employedpersons_Share(%)_1991,Employedpersons_Share(%)_2000,Employedpersons_Share(%)_2008,Employedpersons_Share(%)_2009,Employedpersons_Share(%)_2010,Employedpersons_Share(%)_2011,Employedpersons_Share(%)_2012,Employedpersons_Share(%)_2013,Employedpersons_Share(%)_2014,Employedpersons_Share(%)_2015,Employedpersons_Share(%)_2016,Employedpersons_Share(%)_2017,Employedpersons_Share(%)_2018,Employedpersons_Share(%)_2019,Employedpersons_Share(%)_2020,Employedpersons_Share(%)_2021,Employedpersons_Share(%)_2022,Employedpersons_Share(%)_2023,Employedpersons_Share(%)_2024,Grossdomesticproduct_Billionsofeuros_1991,Grossdomesticproduct_Billionsofeuros_2000,Grossdomesticproduct_Billionsofeuros_2008,Grossdomesticproduct_Billionsofeuros_2009,Grossdomesticproduct_Billionsofeuros_2010,Grossdomesticproduct_Billionsofeuros_2011,Grossdomesticproduct_Billionsofeuros_2012,Grossdomesticproduct_Billionsofeuros_2013,Grossdomesticproduct_Billionsofeuros_2014,Grossdomesticproduct_Billionsofeuros_2015,Grossdomesticproduct_Billionsofeuros_2016,Grossdomesticproduct_Billionsofeuros_2017,Grossdomesticproduct_Billionsofeuros_2018,Grossdomesticproduct_Billionsofeuros_2019,Grossdomesticproduct_Billionsofeuros_2020,Grossdomesticproduct_Billionsofeuros_2021,Grossdomesticproduct_Billionsofeuros_2022,Grossdomesticproduct_Billionsofeuros_2023,Grossdomesticproduct_Billionsofeuros_2024,Grossdomesticproduct_Share(%)_1991,Grossdomesticproduct_Share(%)_2000,Grossdomesticproduct_Share(%)_2008,Grossdomesticproduct_Share(%)_2009,Grossdomesticproduct_Share(%)_2010,Grossdomesticproduct_Share(%)_2011,Grossdomesticproduct_Share(%)_2012,Grossdomesticproduct_Share(%)_2013,Grossdomesticproduct_Share(%)_2014,Grossdomesticproduct_Share(%)_2015,Grossdomesticproduct_Share(%)_2016,Grossdomesticproduct_Share(%)_2017,Grossdomesticproduct_Share(%)_2018,Grossdomesticproduct_Share(%)_2019,Grossdomesticproduct_Share(%)_2020,Grossdomesticproduct_Share(%)_2021,Grossdomesticproduct_Share(%)_2022,Grossdomesticproduct_Share(%)_2023,Grossdomesticproduct_Share(%)_2024
Baden-WÃ¼rttemberg,9904.0,10359.2,10506.2,10491.0,10480.4,10495.5,10540.8,10600.2,10674.0,10798.1,10915.8,10987.7,11046.5,11085.0,11101.7,11113.8,11202.5,11309.8,11348.8,12.4,12.7,13.0,13.0,13.1,13.1,13.1,13.1,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.4,13.4,13.4,13.4,5175.1,5503.6,5721.3,5684.0,5688.9,5762.8,5846.3,5915.2,5987.5,6043.8,6122.9,6212.0,6297.5,6342.9,6283.5,6283.3,6361.2,6421.4,6433.8,13.3,13.8,14.0,13.9,13.8,13.9,13.9,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.9,13.9,14.0,14.0,243.4,312.0,387.5,360.0,389.9,412.7,421.3,432.3,448.9,468.6,483.2,506.8,526.4,536.1,516.9,555.7,595.4,631.5,650.2,15.3,14.7,15.0,14.4,14.9,15.0,15.0,15.1,15.0,15.2,15.1,15.2,15.3,15.2,15.0,15.1,15.1,15.1,15.1
Bavaria,11517.8,12113.9,12382.6,12370.4,12372.8,12413.4,12481.5,12561.9,12647.9,12767.5,12887.1,12964.0,13037.0,13100.7,13132.5,13158.6,13273.2,13402.2,13458.7,14.4,14.9,15.3,15.4,15.4,15.5,15.5,15.6,15.6,15.6,15.6,15.7,15.7,15.8,15.8,15.8,15.8,15.9,15.9,6060.0,6460.2,6703.2,6726.3,6786.5,6904.7,7021.1,7100.3,7184.4,7279.7,7398.7,7524.4,7645.5,7732.3,7682.9,7684.3,7791.0,7862.8,7894.0,15.6,16.2,16.4,16.4,16.5,16.6,16.7,16.8,16.8,16.9,16.9,17.0,17.0,17.1,17.1,17.1,17.1,17.1,17.1,264.0,359.9,442.7,434.9,459.3,491.0,504.0,519.9,541.7,564.1,586.9,614.3,629.0,651.2,634.8,675.0,723.6,773.6,791.6,16.6,16.9,17.1,17.4,17.6,17.9,18.0,18.1,18.1,18.3,18.4,18.4,18.3,18.4,18.4,18.4,18.3,18.5,18.4
Berlin,3436.2,3298.8,3265.7,3269.4,3274.2,3302.2,3350.6,3398.5,3445.8,3494.9,3547.4,3594.2,3629.2,3657.2,3666.8,3670.8,3716.4,3768.7,3791.8,4.3,4.0,4.0,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.5,4.5,1706.0,1619.1,1649.6,1677.6,1697.3,1712.4,1751.0,1784.2,1818.3,1857.1,1910.0,1969.5,2022.7,2071.7,2066.2,2085.5,2156.2,2190.7,2197.2,4.4,4.1,4.0,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.6,4.7,4.8,4.8,68.4,86.2,101.0,101.4,105.2,110.6,112.4,116.1,122.3,129.3,136.4,144.1,152.0,159.6,159.0,171.2,184.5,197.9,207.1,4.3,4.0,3.9,4.1,4.0,4.0,4.0,4.0,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.7,4.7,4.7,4.8
Brandenburg,2559.8,2580.6,2491.8,2477.8,2466.3,2457.2,2451.3,2449.4,2453.5,2471.3,2489.7,2499.3,2508.0,2516.9,2526.5,2534.5,2555.5,2577.4,2582.2,3.2,3.2,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1191.0,1089.8,1063.3,1076.6,1081.8,1080.9,1083.5,1081.8,1082.6,1084.9,1099.0,1113.2,1123.9,1129.8,1122.8,1129.3,1142.3,1145.9,1145.1,3.1,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,19.9,45.2,56.0,54.8,57.4,59.4,61.0,62.3,65.7,66.8,68.6,72.1,74.0,77.2,76.2,81.2,89.5,96.4,97.5,1.2,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3
Bremen,682.4,657.2,654.4,653.3,652.2,651.8,653.5,656.1,659.6,666.7,675.1,679.9,682.0,682.1,680.7,678.3,680.7,688.3,691.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,397.9,394.5,409.3,407.1,407.2,412.8,419.3,420.8,422.3,423.1,427.9,431.4,435.8,438.9,434.6,433.4,440.3,444.3,444.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,22.5,27.9,25.5,27.0,27.8,29.1,29.5,30.5,31.1,31.9,32.8,33.4,33.4,32.4,35.5,38.8,40.3,41.4,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
Hamburg,1658.7,1672.5,1701.2,1698.8,1701.7,1711.9,1726.2,1740.3,1754.6,1775.1,1798.9,1820.5,1835.9,1844.2,1849.9,1853.2,1873.0,1901.1,1915.8,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,1022.9,1052.6,1120.8,1137.4,1148.1,1164.6,1186.8,1201.8,1211.2,1222.2,1243.5,1260.1,1279.1,1297.8,1293.6,1295.6,1324.1,1350.5,1362.2,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,3.0,61.1,78.5,97.1,94.2,97.2,98.8,101.4,106.0,108.3,112.9,115.2,121.4,124.3,129.9,124.2,137.6,155.7,153.7,161.9,3.8,3.7,3.7,3.8,3.7,3.6,3.6,3.7,3.6,3.7,3.6,3.6,3.6,3.7,3.6,3.7,3.9,3.7,3.8
Hesse,5797.9,6013.0,5982.9,5972.9,5969.3,5981.6,6005.1,6031.0,6069.7,6135.0,6194.6,6228.2,6254.5,6276.9,6290.6,6294.1,6343.2,6406.0,6428.9,7.2,7.4,7.4,7.4,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,7.6,2958.5,3120.5,3159.8,3171.2,3179.2,3217.7,3255.8,3269.0,3304.5,3341.7,3385.5,3440.5,3494.5,3529.9,3505.4,3515.6,3570.9,3607.0,3624.1,7.6,7.8,7.7,7.8,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.9,150.4,195.5,234.2,225.0,232.4,243.5,244.4,250.5,261.3,268.5,279.8,288.0,294.4,302.8,293.8,313.3,332.4,354.5,368.3,9.4,9.2,9.0,9.0,8.9,8.9,8.7,8.7,8.8,8.7,8.8,8.6,8.6,8.6,8.5,8.5,8.4,8.5,8.6
Mecklenburg-Western Pomerania,1907.2,1770.0,1648.0,1632.3,1619.9,1610.8,1603.6,1598.4,1597.8,1605.8,1611.5,1610.9,1610.4,1608.9,1609.5,1611.0,1619.8,1628.9,1626.4,2.4,2.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,836.1,767.3,750.0,755.6,751.8,741.3,734.8,733.7,740.9,742.9,746.4,752.9,758.0,761.5,756.5,757.9,761.6,762.4,757.0,2.2,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,14.4,29.7,34.6,34.4,35.4,36.9,37.3,38.3,40.1,40.8,41.8,45.1,45.3,48.2,47.3,50.2,55.7,59.2,61.2,0.9,1.4,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.4
Lower Saxony,7427.7,7843.1,7834.4,7807.2,7787.0,7776.5,7776.6,7784.8,7808.6,7876.7,7936.1,7954.2,7972.6,7988.0,7998.5,8015.2,8083.6,8151.1,8163.1,9.3,9.6,9.7,9.7,9.7,9.7,9.7,9.7,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,3300.7,3585.1,3709.2,3740.8,3766.7,3827.5,3887.4,3922.3,3956.7,3988.0,4036.9,4088.1,4141.3,4183.0,4158.4,4169.3,4217.9,4240.4,4244.1,8.5,9.0,9.1,9.1,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.2,9.2,9.2,9.2,9.3,9.2,9.2,9.2,145.2,185.8,225.3,216.6,229.9,243.3,249.0,251.8,262.9,265.5,285.3,292.6,303.8,314.5,306.7,321.1,343.6,369.1,381.3,9.1,8.7,8.7,8.7,8.8,8.9,8.9,8.8,8.8,8.6,8.9,8.8,8.9,8.9,8.9,8.7,8.7,8.8,8.9
North Rhine-Westphalia,17421.3,17856.1,17701.6,17625.1,17566.4,17545.1,17549.6,17563.1,17605.0,17751.8,17877.8,17901.1,17922.4,17939.9,17936.4,17925.1,18031.9,18164.8,18195.7,21.8,21.9,21.9,21.9,21.9,21.9,21.8,21.8,21.7,21.7,21.7,21.7,21.6,21.6,21.6,21.5,21.5,21.5,21.5,8072.8,8618.5,8795.4,8773.7,8804.3,8919.3,9013.7,9073.2,9149.7,9237.0,9335.1,9447.9,9568.3,9659.2,9592.1,9627.0,9771.9,9826.1,9840.3,20.8,21.6,21.5,21.4,21.4,21.5,21.4,21.4,21.4,21.4,21.4,21.3,21.3,21.3,21.3,21.4,21.4,21.4,21.4,381.6,470.0,570.6,549.8,565.1,588.5,594.5,605.9,630.7,651.1,666.2,693.4,716.7,731.5,717.5,754.4,806.9,851.0,871.9,24.0,22.1,22.0,22.0,21.6,21.4,21.2,21.1,21.1,21.1,20.8,20.8,20.9,20.7,20.8,20.5,20.4,20.3,20.3
Rhineland-Palatinate,3792.1,4027.9,4028.6,4011.6,3998.9,3992.1,3990.2,3992.3,4003.0,4032.2,4059.4,4069.9,4079.3,4089.4,4096.1,4102.4,4132.8,4166.7,4178.5,4.7,4.9,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,1684.2,1808.8,1907.2,1905.7,1911.1,1929.0,1945.4,1953.3,1968.7,1982.0,1998.7,2018.4,2037.9,2050.4,2028.7,2032.2,2055.5,2064.3,2061.0,4.3,4.5,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,76.6,94.7,112.0,109.1,115.5,120.3,123.4,126.0,131.0,135.5,139.2,143.1,146.0,150.5,147.8,167.8,176.9,180.6,184.0,4.8,4.4,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.6,4.5,4.3,4.3
Saarland,1074.5,1062.2,1019.7,1011.9,1004.8,999.9,996.1,992.5,989.9,992.3,996.1,995.4,992.3,988.7,985.4,983.2,987.5,993.5,993.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,484.1,517.7,520.5,517.8,520.9,526.3,527.1,522.9,522.6,523.6,529.0,532.7,535.4,536.0,528.2,524.9,526.6,526.6,522.5,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,21.6,25.7,32.2,29.2,30.8,32.5,32.7,32.3,33.9,34.7,35.1,36.3,36.8,37.0,35.5,37.0,40.9,42.1,42.6,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0
Saxony,4719.5,4402.0,4133.2,4103.5,4077.9,4060.2,4052.2,4048.3,4050.8,4070.1,4083.3,4081.5,4079.6,4075.0,4064.5,4050.0,4064.6,4087.8,4081.7,5.9,5.4,5.1,5.1,5.1,5.1,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,2257.1,2001.2,1964.2,1955.5,1967.0,1970.3,1987.3,1998.8,2005.6,2000.7,2018.6,2039.8,2057.9,2064.6,2050.5,2051.5,2069.2,2074.0,2067.7,5.8,5.0,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,36.9,76.6,95.3,92.8,96.7,101.2,103.0,105.8,110.9,115.5,119.3,124.1,127.5,132.6,129.4,136.3,147.3,157.9,161.9,2.3,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.8,3.8
Saxony-Anhalt,2847.7,2614.0,2363.9,2334.0,2308.8,2287.1,2268.1,2252.0,2240.1,2240.5,2240.9,2229.7,2215.7,2201.6,2187.7,2175.0,2177.9,2183.5,2174.9,3.6,3.2,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,1277.9,1071.7,1027.5,1023.8,1025.2,1020.2,1015.2,1009.8,1004.3,1000.8,1002.8,1006.3,1007.3,1007.0,996.4,995.4,996.4,993.5,989.2,3.3,2.7,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.1,20.7,43.0,51.2,49.0,51.9,53.0,55.2,55.7,56.9,57.7,59.3,61.4,62.4,65.3,64.3,67.6,74.2,78.5,79.4,1.3,2.0,2.0,2.0,2.0,1.9,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.8,1.9,1.9,1.8
Schleswig-Holstein,2636.1,2764.7,2805.3,2801.2,2799.7,2801.2,2804.4,2811.2,2823.4,2844.8,2870.3,2885.9,2893.3,2900.2,2907.3,2916.4,2937.6,2959.5,2969.9,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,1221.2,1285.4,1308.5,1314.4,1319.1,1331.8,1341.4,1347.2,1356.7,1369.9,1390.1,1408.9,1426.4,1441.5,1437.3,1445.3,1463.1,1475.0,1482.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,51.2,64.4,74.0,72.0,73.7,76.6,79.4,80.4,83.1,85.2,87.8,93.3,95.8,100.2,99.9,105.7,117.1,122.2,126.8,3.2,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.8,2.9,2.9,3.0,2.9,2.9
Thuringia,2590.6,2421.3,2243.8,2222.1,2203.8,2188.5,2176.0,2165.7,2158.8,2163.7,2164.4,2154.7,2147.2,2138.3,2126.8,2114.6,2117.9,2124.6,2115.5,3.2,3.0,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,1227.6,1079.9,1041.1,1035.7,1044.1,1048.4,1049.0,1043.4,1039.9,1039.6,1041.1,1043.8,1046.3,1044.3,1028.8,1022.4,1026.8,1026.1,1017.8,3.2,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.2,2.2,2.2,17.2,40.0,48.0,46.2,48.9,51.7,52.3,54.3,57.0,58.4,60.2,62.2,63.2,64.9,63.9,66.9,71.5,76.8,78.2,1.1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.8,1.8,1.8
"LÃ¤nder, total",79973.4,81456.6,80763.5,80482.6,80284.1,80275.0,80425.8,80645.6,80982.5,81686.6,82348.7,82657.0,82905.8,83093.0,83160.9,83196.1,83798.0,84514.1,84717.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38873.0,39976.0,40851.0,40903.0,41099.0,41570.0,42065.0,42378.0,42756.0,43137.0,43686.0,44290.0,44878.0,45291.0,44966.0,45053.0,45675.0,46011.0,46082.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1591.6,2129.7,2589.7,2494.9,2616.1,2747.8,2800.4,2867.3,2985.2,3085.7,3196.1,3331.1,3431.1,3534.9,3449.6,3676.5,3953.9,4185.6,4305.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
